,BIN,BOROUGH,ZIP,STREET_NAME,BLOCK,LOT,CONFIRMATION_NUM,REPORTING_YEAR,MEET_STANDARDS,LATITUDE,LONGITUDE,CENSUS_TRACT,BBL
24900,2022564,BRONX,10473,EVERGREEN AVENUE,3650,1,WTI0619010388,2016,Y,40.822347,-73.879612,28.0,2036500001.0
24901,1034253,MANHATTAN,10036,5 AVENUE,1261,41,WTI8977002852,2020,Y,40.756087,-73.979408,96.0,1012610041.0
24903,1046437,MANHATTAN,10075,EAST   79 STREET,1491,23,WTI8882974120,2019,Y,40.776204,-73.961829,142.0,1014910023.0
24905,1035778,MANHATTAN,10022,MADISON AVENUE,1292,15,WTI8979835187,2016,Y,40.762146,-73.972479,11202.0,1012920015.0
24907,1001112,MANHATTAN,10038,MAIDEN LANE,68,11,WTI2000451904,2018,Y,40.707657,-74.007758,1502.0,1000680011.0
24908,1015254,MANHATTAN,10018,BROADWAY,813,16,WTI4016100590,2017,Y,40.752328,-73.987461,109.0,1008130016.0
24911,1024660,MANHATTAN,10036,WEST   42 STREET,1013,39,WTI4554998244,2020,Y,40.756324,-73.987652,113.0,1010130039.0
24912,1086172,MANHATTAN,10128,3 AVENUE,1537,7501,WTI9116729312,2019,Y,40.782098,-73.951581,154.0,1015377501.0
24913,1001421,MANHATTAN,10007,MURRAY STREET,132,7503,WTI9443966882,2016,Y,40.714582,-74.010569,21.0,1001327503.0
24914,1076078,MANHATTAN,10014,BARROW STREET,590,7502,WTI5099873612,2019,Y,40.732689,-74.002522,67.0,1005907502.0
24916,1013604,MANHATTAN,10018,WEST   37 STREET,760,63,WTI7161121222,2019,Y,40.754573,-73.99324,111.0,1007600063.0
24918,3324663,BROOKLYN,11233,THOMAS S BOYLAND STREET,1434,1,WTI0853149531,2016,Y,40.675797,-73.913754,36501.0,3014340001.0
24919,3196586,BROOKLYN,11224,WEST    5 STREET,7274,60,WTI1196395173,2016,Y,40.578926,-73.972101,35602.0,3072740060.0
24925,1015902,MANHATTAN,10018,WEST   36 STREET,837,56,WTI5086962601,2020,Y,40.750027,-73.984365,84.0,1008370056.0
24928,1076268,MANHATTAN,10017,PARK AVENUE,1302,7501,WTI3621084073,2019,Y,40.755564,-73.975138,92.0,1013027501.0
24929,1087239,MANHATTAN,10282,WEST STREET,16,260,WTI8293430303,2018,Y,40.713846,-74.013812,31703.0,1000160260.0
24932,1015394,MANHATTAN,10011,5 AVENUE,818,51,WTI2615562630,2019,Y,40.737696,-73.992397,54.0,1008180051.0
24933,3000259,BROOKLYN,11201,ADAMS STREET,140,7501,WTI2321069520,2017,Y,40.693565,-73.988908,11.0,3001407501.0
24936,1009096,MANHATTAN,10003,EAST   10 STREET,561,9,WTI3647452110,2020,Y,40.732451,-73.993166,59.0,1005610009.0
24938,4047333,QUEENS,11368,HORACE HARDING EXPRESSWAY,1918,105,WTI1608339976,2020,Y,40.734938,-73.862399,455.0,4019180105.0
24939,1001100,MANHATTAN,10038,BROADWAY,65,17,WTI8361444889,2020,Y,40.709932,-74.009869,1502.0,1000650017.0
24944,1047413,MANHATTAN,10128,5 AVENUE,1506,69,WTI4989501611,2020,Y,40.787019,-73.956399,16001.0,1015060069.0
24945,1078979,MANHATTAN,10004,BROADWAY,22,17,WTI6185009781,2020,Y,40.706045,-74.013096,9.0,1000220017.0
24946,1029778,MANHATTAN,10023,WEST   71 STREET,1142,64,WTI1737462683,2020,Y,40.777537,-73.981189,157.0,1011420064.0
24950,1016938,MANHATTAN,10016,EAST   30 STREET,859,58,WTI7563742804,2020,Y,40.745086,-73.984442,74.0,1008590058.0
24951,1000000,MANHATTAN,10011,WEST   11 STREET,607,7503,WTI2128793043,2018,Y,40.736027,-73.99978,71.0,1006077503.0
24955,1080438,MANHATTAN,10024,WEST END AVENUE,1244,72,WTI5891033822,2020,Y,40.786037,-73.979944,167.0,1012440072.0
24957,2097466,BRONX,10475,BARTOW AVENUE,5141,100,WTI2501915939,2019,Y,40.869472,-73.828582,46201.0,2051410100.0
24958,1047413,MANHATTAN,10128,5 AVENUE,1506,69,WTI2077778394,2019,Y,40.787019,-73.956399,16001.0,1015060069.0
24959,1031607,MANHATTAN,10024,CENTRAL PARK WEST,1204,29,WTI6689830699,2016,Y,40.788063,-73.967315,177.0,1012040029.0
24960,1040747,MANHATTAN,10022,SUTTON PLACE,1372,73,WTI1313370037,2020,Y,40.758343,-73.959944,10601.0,1013720073.0
24963,1030011,MANHATTAN,10023,WEST   73 STREET,1145,12,WTI8388044439,2016,Y,40.778624,-73.979527,157.0,1011450012.0
24966,1090158,MANHATTAN,10023,West 61st Street,1114,7504,WTI5225596797,2020,Y,40.769912,-73.982494,145.0,1011147504.0
24967,1036625,MANHATTAN,10022,EAST   56 STREET,1310,7502,WTI8066474345,2016,Y,40.760127,-73.969354,100.0,1013107502.0
24971,1007050001,MANHATTAN,10001,HUDSON YARDS,705,1,WTI6593173075,2019,Y,40.755446,-74.00222,99.0,1007050001.0
24976,1043089,MANHATTAN,10021,EAST   74 STREET,1409,33,WTI0922543823,2016,Y,40.771381,-73.960373,128.0,1014090033.0
24977,1033139,MANHATTAN,10024,WEST   85 STREET,1233,29,WTI2064390273,2016,Y,40.787101,-73.975726,171.0,1012330029.0
24978,1016062,MANHATTAN,10003,EAST   14 STREET,842,7,WTI3642337323,2020,Y,40.735859,-73.993245,52.0,1008420007.0
24979,1041475,MANHATTAN,10021,EAST   73 STREET,1387,56,WTI3305868179,2019,Y,40.77259,-73.965261,130.0,1013870056.0
24982,1077836,MANHATTAN,10012,WASHINGTON SQUARE VILLAGE,533,1,WTI3285664173,2016,Y,40.727126,-73.997023,5501.0,1005330001.0
24985,1036061,MANHATTAN,10022,MADISON AVENUE,1293,26,WTI7169025751,2016,Y,40.762384,-73.97228,11202.0,1012930026.0
24988,1051446,MANHATTAN,10128,EAST   96 STREET,1602,7501,WTI5700283022,2017,Y,40.78685,-73.953243,16002.0,1016027501.0
24992,1085016,MANHATTAN,10036,WEST   44 STREET,997,10,WTI4824702832,2016,Y,40.756667,-73.984396,119.0,1009970010.0
24994,2032630085,BRONX,10463,Bailey Avenue,3263,85,WTI2247006021,2019,Y,40.885298,-73.895418,279.0,2032630085.0
24995,1018040,MANHATTAN,10010,EAST   23 STREET,879,17,WTI0247357433,2019,Y,40.739644,-73.985039,68.0,1008790017.0
24998,1083346,MANHATTAN,10041,WATER STREET,32,7501,WTI6158215703,2016,Y,40.703608,-74.009691,9.0,1000327501.0
25003,1014233,MANHATTAN,10001,WEST   26 STREET,776,17,WTI5307762182,2020,Y,40.746465,-73.99533,95.0,1007760017.0
25004,1036926,MANHATTAN,10022,EAST   57 STREET,1312,7501,WTI1543143797,2017,Y,40.761275,-73.969938,11203.0,1013127501.0
25007,1090190,MANHATTAN,10019,WEST   57 STREET,1104,31,WTI2307170628,2019,Y,40.770531,-73.991945,135.0,1011040031.0
25011,1072630,MANHATTAN,10021,EAST   69 STREET,1444,7501,WTI1128437093,2020,Y,40.766824,-73.95965,126.0,1014447501.0
25013,1035058,MANHATTAN,10019,WEST   57 STREET,1272,66,WTI6606005616,2020,Y,40.763639,-73.97559,11201.0,1012720066.0
25016,4003534,QUEENS,11101,THOMSON AVENUE,278,1,WTI9886325892,2016,Y,40.744902,-73.935022,179.0,4002780001.0
25021,1016956,MANHATTAN,10016,MADISON AVENUE,860,15,WTI0630566581,2016,Y,40.745339,-73.984734,74.0,1008600015.0
25023,3001779,BROOKLYN,11201,PIERREPONT STREET,235,4,WTI5186431626,2016,Y,40.69603,-73.996008,301.0,3002350004.0
25028,1077585,MANHATTAN,10002,MONROE STREET,253,1,WTI4897528420,2016,Y,40.711453,-73.995661,8.0,1002530001.0
25029,1015771,MANHATTAN,10001,WEST   30 STREET,831,7501,WTI3395532743,2020,Y,40.746415,-73.987589,76.0,1008317501.0
25034,1028818,MANHATTAN,10024,WEST   77 STREET,1129,45,WTI5297891353,2018,Y,40.779852,-73.974497,161.0,1011290045.0
25035,1048799,MANHATTAN,10128,EAST   87 STREET,1532,22,WTI4797931845,2020,Y,40.779011,-73.95236,14602.0,1015320022.0
25039,1041317,MANHATTAN,10021,EAST   70 STREET,1384,7501,WTI7385891024,2017,Y,40.770375,-73.966168,122.0,1013847501.0
25045,3398591,BROOKLYN,11217,DEAN STREET,1118,2,WTI8298640050,2019,Y,40.681736,-73.975306,12902.0,3011180002.0
